Cond1,Cond2,RG1_All,RG2_Significant,RG3_SignificantChange
DOWN,DOWN,Cond1 DOWN + Cond2 DOWN,Core_DOWN,Core_DOWN
DOWN,Not Detected,Cond1 DOWN + Cond2 Not Detected,Cond1_DOWN,Cond1_DOWN
DOWN,Not Significant,Cond1 DOWN + Cond2 Not Significant,Cond1_DOWN,Cond1_DOWN
DOWN,Significant Negative,Cond1 DOWN + Cond2 Significant Negative,Core_DOWN,Cond1_DOWN
DOWN,Significant Positive,Cond1 DOWN + Cond2 Significant Positive,Opposite,Cond1_DOWN
DOWN,UP,Cond1 DOWN + Cond2 UP,Opposite,Opposite
UP,DOWN,Cond1 UP + Cond2 DOWN,Opposite,Opposite
UP,Not Detected,Cond1 UP + Cond2 Not Detected,Cond1_UP,Cond1_UP
UP,Not Significant,Cond1 UP + Cond2 Not Significant,Cond1_UP,Cond1_UP
UP,Significant Negative,Cond1 UP + Cond2 Significant Negative,Opposite,Cond1_UP
UP,Significant Positive,Cond1 UP + Cond2 Significant Positive,Core_UP,Cond1_UP
UP,UP,Cond1 UP + Cond2 UP,Core_UP,Core_UP
Not Detected,DOWN,Cond1 Not Detected + Cond2 DOWN,Cond2_DOWN,Cond2_DOWN
Not Detected,Not Detected,Cond1 Not Detected + Cond2 Not Detected,None,None
Not Detected,Not Significant,Cond1 Not Detected + Cond2 Not Significant,None,None
Not Detected,Significant Negative,Cond1 Not Detected + Cond2 Significant Negative,None,None
Not Detected,Significant Positive,Cond1 Not Detected + Cond2 Significant Positive,None,None
Not Detected,UP,Cond1 Not Detected + Cond2 UP,Cond2_UP,Cond2_UP
Significant Negative,DOWN,Cond1 Significant Negative + Cond2 DOWN,Core_DOWN,Cond2_DOWN
Significant Negative,Not Detected,Cond1 Significant Negative + Cond2 Not Detected,None,None
Significant Negative,Not Significant,Cond1 Significant Negative + Cond2 Not Significant,None,None
Significant Negative,Significant Negative,Cond1 Significant Negative + Cond2 Significant Negative,None,None
Significant Negative,Significant Positive,Cond1 Significant Negative + Cond2 Significant Positive,None,None
Significant Negative,UP,Cond1 Significant Negative + Cond2 UP,Opposite,Cond2_UP
Significant Positive,DOWN,Cond1 Significant Positive + Cond2 DOWN,Opposite,Cond2_DOWN
Significant Positive,Not Detected,Cond1 Significant Positive + Cond2 Not Detected,None,None
Significant Positive,Not Significant,Cond1 Significant Positive + Cond2 Not Significant,None,None
Significant Positive,Significant Negative,Cond1 Significant Positive + Cond2 Significant Negative,None,None
Significant Positive,Significant Positive,Cond1 Significant Positive + Cond2 Significant Positive,None,None
Significant Positive,UP,Cond1 Significant Positive + Cond2 UP,Core_UP,Cond2_UP
Not Significant,DOWN,Cond1 Not Significant + Cond2 DOWN,Cond2_DOWN,Cond2_DOWN
Not Significant,Not Detected,Cond1 Not Significant + Cond2 Not Detected,None,None
Not Significant,Not Significant,Cond1 Not Significant + Cond2 Not Significant,None,None
Not Significant,Significant Negative,Cond1 Not Significant + Cond2 Significant Negative,None,None
Not Significant,Significant Positive,Cond1 Not Significant + Cond2 Significant Positive,None,None
Not Significant,UP,Cond1 Not Significant + Cond2 UP,Cond1_UP,Cond1_UP
